customer_id,first_name,last_name,email,active,address,district,postal_code,city,country,rental_date,return_date,amount,payment_date,rental_duration
130,charlotte,hunter,charlotte.hunter@sakilacustomer.org,1,"758 junan lane",gois,82639,"águas lindas de goiás",brazil,"2005-05-24 22:53:30","2005-05-26 22:04:30",2.99,"2005-05-24 22:53:30",2
459,tommy,collazo,tommy.collazo@sakilacustomer.org,1,"76 kermanshah manor",esfahan,23343,qomsheh,iran,"2005-05-24 22:54:33","2005-05-28 19:40:33",2.99,"2005-05-24 22:54:33",4
408,manuel,murrell,manuel.murrell@sakilacustomer.org,1,"692 amroha drive",northern,35575,jaffna,"sri lanka","2005-05-24 23:03:39","2005-06-01 22:12:39",3.99,"2005-05-24 23:03:39",8
333,andrew,purdy,andrew.purdy@sakilacustomer.org,1,"431 székesfehérvár avenue",baki,57828,baku,azerbaijan,"2005-05-24 23:04:41","2005-06-03 01:43:41",4.99,"2005-05-24 23:04:41",10
222,delores,hansen,delores.hansen@sakilacustomer.org,1,"810 palghat (palakkad) boulevard",jaroslavl,73431,jaroslavl,"russian federation","2005-05-24 23:05:21","2005-06-02 04:33:21",6.99,"2005-05-24 23:05:21",9
549,nelson,christenson,nelson.christenson@sakilacustomer.org,1,"1764 jalib al-shuyukh parkway",galicia,77642,"santiago de compostela",spain,"2005-05-24 23:08:07","2005-05-27 01:32:07",0.99,"2005-05-24 23:08:07",3
269,cassandra,walters,cassandra.walters@sakilacustomer.org,1,"920 kumbakonam loop",california,75090,salinas,"united states","2005-05-24 23:11:53","2005-05-29 20:34:53",1.99,"2005-05-24 23:11:53",5
239,minnie,romero,minnie.romero@sakilacustomer.org,1,"47 syktyvkar lane","west java",22236,ciomas,indonesia,"2005-05-24 23:31:46","2005-05-27 23:33:46",4.99,"2005-05-24 23:31:46",3
126,ellen,simpson,ellen.simpson@sakilacustomer.org,1,"1666 qomsheh drive","são paulo",66255,poá,brazil,"2005-05-25 00:00:40","2005-05-28 00:22:40",4.99,"2005-05-25 00:00:40",3
399,danny,isom,danny.isom@sakilacustomer.org,1,"734 béchar place",punjab,30586,okara,pakistan,"2005-05-25 00:02:21","2005-05-31 22:44:21",5.99,"2005-05-25 00:02:21",6
142,april,burns,april.burns@sakilacustomer.org,1,"483 ljubertsy parkway",scotland,60562,dundee,"united kingdom","2005-05-25 00:09:02","2005-06-02 20:56:02",8.99,"2005-05-25 00:09:02",8
261,deanna,byrd,deanna.byrd@sakilacustomer.org,1,"862 xintai lane","cagayan valley",30065,tuguegarao,philippines,"2005-05-25 00:19:27","2005-05-30 05:44:27",4.99,"2005-05-25 00:19:27",5
334,raymond,mcwhorter,raymond.mcwhorter@sakilacustomer.org,1,"503 sogamoso loop",sumqayit,49812,sumqayit,azerbaijan,"2005-05-25 00:22:55","2005-05-30 04:28:55",6.99,"2005-05-25 00:22:55",5
446,theodore,culp,theodore.culp@sakilacustomer.org,0,"1704 tambaram manor","west bengali",2834,uluberia,india,"2005-05-25 00:31:15","2005-05-26 02:56:15",0.99,"2005-05-25 00:31:15",1
319,ronald,weiner,ronald.weiner@sakilacustomer.org,1,"1145 vilnius manor",mxico,73170,"san felipe del progreso",mexico,"2005-05-25 00:39:22","2005-06-03 03:30:22",9.99,"2005-05-25 00:39:22",9
316,steven,curley,steven.curley@sakilacustomer.org,1,"651 pathankot loop",maharashtra,59811,miraj,india,"2005-05-25 00:43:11","2005-05-26 04:42:11",4.99,"2005-05-25 00:43:11",1
575,isaac,oglesby,isaac.oglesby@sakilacustomer.org,1,"186 skikda lane",morelos,89422,cuernavaca,mexico,"2005-05-25 01:06:36","2005-05-27 00:43:36",2.99,"2005-05-25 01:06:36",2
19,ruth,martinez,ruth.martinez@sakilacustomer.org,1,"1417 lancaster avenue","northern cape",72192,kimberley,"south africa","2005-05-25 01:10:47","2005-05-31 06:35:47",0.99,"2005-05-25 01:10:47",6
456,ronnie,ricketts,ronnie.ricketts@sakilacustomer.org,1,"1889 valparai way",ziguinchor,75559,ziguinchor,senegal,"2005-05-25 01:17:24","2005-05-31 06:00:24",4.99,"2005-05-25 01:17:24",6
185,roberta,harper,roberta.harper@sakilacustomer.org,1,"927 barcelona street","chaharmahal va bakht",65121,"shahr-e kord",iran,"2005-05-25 01:48:41","2005-05-27 02:20:41",2.99,"2005-05-25 01:48:41",2
388,craig,morrell,craig.morrell@sakilacustomer.org,1,"717 changzhou lane","southern tagalog",21615,cavite,philippines,"2005-05-25 01:59:46","2005-05-26 01:01:46",4.99,"2005-05-25 01:59:46",1
509,raul,fortier,raul.fortier@sakilacustomer.org,1,"1747 rustenburg place",bihar,51369,chapra,india,"2005-05-25 02:19:23","2005-05-26 04:52:23",4.99,"2005-05-25 02:19:23",1
438,barry,lovelace,barry.lovelace@sakilacustomer.org,1,"1836 korla parkway",copperbelt,55405,kitwe,zambia,"2005-05-25 02:40:21","2005-05-29 06:34:21",4.99,"2005-05-25 02:40:21",4
350,juan,fraley,juan.fraley@sakilacustomer.org,1,"469 nakhon sawan street",tuvassia,58866,tšeboksary,"russian federation","2005-05-25 02:53:02","2005-05-27 01:15:02",4.99,"2005-05-25 02:53:02",2
37,pamela,baker,pamela.baker@sakilacustomer.org,1,"1440 fukuyama loop",henan,47929,nanyang,china,"2005-05-25 03:21:20","2005-05-27 21:25:20",0.99,"2005-05-25 03:21:20",2
371,billy,poulin,billy.poulin@sakilacustomer.org,1,"1061 ede avenue","southern tagalog",57810,cabuyao,philippines,"2005-05-25 03:36:50","2005-05-31 00:34:50",3.99,"2005-05-25 03:36:50",6
301,robert,baughman,robert.baughman@sakilacustomer.org,1,"1883 maikop lane",kaliningrad,68469,kaliningrad,"russian federation","2005-05-25 03:41:50","2005-05-30 01:13:50",4.99,"2005-05-25 03:41:50",5
232,constance,reid,constance.reid@sakilacustomer.org,1,"885 yingkou manor",kaduna,31390,zaria,nigeria,"2005-05-25 03:42:37","2005-05-26 09:26:37",4.99,"2005-05-25 03:42:37",1
44,marie,turner,marie.turner@sakilacustomer.org,1,"1998 halifax drive",lipetsk,76022,lipetsk,"russian federation","2005-05-25 03:47:12","2005-05-30 00:31:12",0.99,"2005-05-25 03:47:12",5
430,ray,houle,ray.houle@sakilacustomer.org,1,"740 udaipur lane","nizni novgorod",33505,dzerzinsk,"russian federation","2005-05-25 04:01:32","2005-05-30 03:12:32",2.99,"2005-05-25 04:01:32",5
369,fred,wheat,fred.wheat@sakilacustomer.org,1,"433 florencia street",chihuahua,91330,juárez,mexico,"2005-05-25 04:05:17","2005-05-30 07:15:17",4.99,"2005-05-25 04:05:17",5
230,joy,george,joy.george@sakilacustomer.org,1,"1256 bislig boulevard",botosani,50598,botosani,romania,"2005-05-25 04:06:21","2005-05-25 23:55:21",0.99,"2005-05-25 04:06:21",0
272,kay,caldwell,kay.caldwell@sakilacustomer.org,1,"85 san felipe de puerto plata drive",shandong,46063,yantai,china,"2005-05-25 04:18:51","2005-05-27 03:58:51",0.99,"2005-05-25 04:18:51",2
597,freddie,duggan,freddie.duggan@sakilacustomer.org,1,"1103 quilmes boulevard",piura,52137,sullana,peru,"2005-05-25 04:19:28","2005-05-29 00:10:28",2.99,"2005-05-25 04:19:28",4
